№ заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
1,11.01.2024,Гречка,Крупы,6,120,720
2,12.01.2024,Сок,Напитки,5,80,400
3,13.01.2024,Мясо,Мясные продукты,4,500,2000
4,14.01.2024,Творог,Молочные продукты,3,150,450
5,15.01.2024,Помидоры,Овощи,7,60,420
6,16.01.2024,Апельсины,Фрукты,9,70,630
7,17.01.2024,Чай,Напитки,2,300,600
8,18.01.2024,Кофе,Напитки,3,400,1200
9,19.01.2024,Сахар,Сладости,10,90,900
10,20.01.2024,Шоколад,Сладости,8,150,1200
