№ заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
1,01.01.2024,Молоко,Молочные продукты,7,150,1050
2,02.01.2024,Хлеб,Хлебобулочные изделия,4,100,400
3,03.01.2024,Яйца,Яйца,12,20,240
4,04.01.2024,Сыр,Молочные продукты,9,300,2700
5,05.01.2024,Яблоки,Фрукты,5,50,250
6,06.01.2024,Масло,Молочные продукты,1,200,200
7,07.01.2024,Картофель,Овощи,10,30,300
8,08.01.2024,Морковь,Овощи,8,40,320
9,09.01.2024,Курица,Птица,2,250,500
10,10.01.2024,Рис,Крупы,3,100,300
